the	44180
of	28597
be	17395
to	17094
and	14897
in	9297
a	6745
have	6166
that	6069
it	5143
by	5013
which	4467
for	3715
as	3369
with	3358
our	3258
they	2693
not	2597
on	2581
this	2544
government	2462
their	2406
from	2356
states	2188
i	2131
its	2131
will	2034
or	1979
at	1844
all	1806
an	1684
united	1614
upon	1567
may	1470
make	1391
but	1380
state	1321
power	1300
congress	1284
public	1284
would	1275
country	1269
such	1260
other	1240
any	1216
we	1193
no	1087
should	1060
duty	1032
so	1016
can	1009
these	968
law	954
great	938
my	922
those	905
people	898
under	896
his	894
act	868
if	865
present	800
time	789
subject	778
more	776
year	769
interest	768
than	766
he	762
bank	761
war	720
citizen	700
000	678
one	671
shall	670
most	666
constitution	665
general	641
mexico	635
nation	622
part	608
last	607
treaty	604
into	599
who	591
between	590
only	590
do	588
without	588
right	587
there	584
give	564
now	558
treasury	558
same	538
own	536
every	525
well	514
union	508
necessary	498
when	488
you	486
system	478
measure	461
your	457
some	456
new	455
revenue	453
exist	448
must	440
take	438
increase	433
foreign	432
executive	430
two	430
authority	428
principle	428
require	428
president	426
effect	423
amount	419
receive	419
within	414
place	412
land	411
object	408
good	404
her	400
peace	395
officer	394
view	391
money	390
against	386
purpose	382
mean	380
department	373
relation	369
force	368
secretary	366
consideration	363
policy	361
condition	360
could	355
provision	354
territory	351
character	350
claim	348
cause	347
long	345
before	343
first	341
whole	341
far	339
question	339
thus	338
service	337
period	336
find	335
also	334
case	334
become	333
result	331
might	330
national	328
operation	328
opinion	327
proper	326
regard	325
institution	323
much	323
important	321
large	321
commerce	319
during	319
senate	319
establish	316
form	311
yet	306
after	305
recommend	305
exercise	304
report	304
american	302
over	302
both	301
many	299
session	293
debt	288
hope	284
pay	279
continue	278
texas	278
while	277
pass	276
since	276
portion	273
therefore	273
attention	271
just	267
high	266
nor	266
out	264
appropriation	262
leave	262
military	261
call	259
improvement	259
branch	258
however	258
each	256
order	256
secure	256
what	255
respect	253
believe	252
remain	252
use	252
payment	251
minister	249
provide	246
trade	243
house	241
article	239
limit	238
produce	238
office	236
mexican	235
army	232
course	231
term	231
vessel	231
bring	230
among	228
day	228
spirit	228
themselves	226
reason	225
expenditure	224
bill	223
still	222
adopt	221
authorize	221
due	221
several	221
circumstance	218
submit	218
then	218
free	216
direct	215
less	215
desire	214
federal	214
protection	214
whether	214
through	212
demand	210
she	210
carry	209
extent	208
justice	208
party	208
individual	207
say	207
ever	206
man	206
render	205
deem	203
extend	203
point	203
consider	202
