the	36408
be	21629
of	21613
to	19173
and	18965
in	13742
that	11328
we	11117
a	9567
i	9127
have	8990
our	6704
for	5846
this	5473
it	5051
not	4568
will	4309
as	3914
they	3322
on	3269
with	3256
do	3156
all	3006
you	2877
by	2597
can	2548
but	2515
or	2230
their	2101
president	2095
people	2092
year	2014
which	1970
would	1958
world	1848
at	1834
from	1822
make	1813
nation	1777
an	1668
there	1635
more	1618
he	1585
must	1510
mr	1509
other	1487
these	1481
who	1461
if	1436
what	1407
now	1397
peace	1394
think	1354
time	1343
no	1335
man	1326
united	1319
any	1314
s	1294
one	1290
so	1289
great	1287
country	1276
my	1265
new	1233
those	1188
than	1182
government	1173
war	1154
say	1142
go	1133
american	1121
states	1075
well	1060
its	1045
his	984
your	983
congress	967
know	959
when	947
some	934
should	933
every	923
america	901
very	895
take	877
program	873
only	864
good	856
hope	847
many	817
come	814
about	809
own	806
work	805
need	800
believe	771
want	754
freedom	750
right	750
help	747
out	745
free	741
today	737
give	730
last	730
because	709
first	704
vietnam	698
most	691
long	681
force	655
day	647
may	636
increase	632
effort	628
could	616
see	613
just	612
let	611
problem	611
here	606
way	601
life	596
state	592
policy	582
also	579
south	573
americans	571
up	569
power	566
meet	562
ask	559
continue	558
before	546
over	546
action	545
national	542
military	541
shall	533
security	531
get	519
such	518
both	515
economic	507
against	504
two	498
through	488
under	488
interest	487
bring	485
federal	484
question	482
much	478
use	474
end	473
into	466
support	463
law	461
progress	461
where	457
area	456
million	455
far	451
then	447
tax	438
administration	435
without	431
billion	429
act	428
future	428
find	420
responsibility	419
strength	417
tonight	414
how	413
public	409
upon	408
defense	404
move	404
history	398
try	398
each	397
provide	397
general	396
place	394
seek	388
home	387
system	387
citizen	385
q	384
part	379
mean	377
soviet	376
matter	365
live	364
talk	362
ago	361
purpose	361
concern	358
never	358
senator	357
tell	356
house	352
present	352
change	349
kennedy	347
party	344
require	344
opportunity	342
keep	340
build	339
between	338
bill	338
high	337
communist	336
fact	336
next	336
past	335
even	333
union	333
month	332
after	331
viet	329
stand	328
full	327
like	326
plan	326
north	325
nam	324
strong	322
course	317
since	317
together	314
possible	313
development	312
secretary	312
nuclear	311
same	311
vote	310
toward	309
thing	306
too	306
report	305
call	303
economy	303
ever	301
decision	300
still	300
goal	299
important	296
member	296
order	296
become	293
leader	293
asia	289
price	289
again	288
serve	288
political	286
week	286
foreign	284
look	283
land	282
nations	282
city	280
dollar	279
percent	279
control	278
clear	277
necessary	275
agreement	274
develop	272
fight	271
begin	270
issue	268
job	268
committee	267
resource	266
budget	265
three	265
attack	264
cause	264
feel	264
weapon	264
aggression	261
face	261
measure	261
pass	261
point	261
speak	261
whether	261
step	258
child	257
back	256
while	256
already	255
reach	255
000	254
always	254
another	254
service	254
cost	251
down	251
europe	250
old	250
achieve	246
answer	246
among	245
friend	245
within	244
share	243
view	242
yet	242
school	241
senate	240
hold	239
maintain	239
office	239
side	239
human	238
less	238
reduce	238
test	238
common	237
follow	236
position	235
few	234
therefore	232
treaty	229
kind	228
education	227
include	227
reason	227
labor	226
might	224
why	224
commitment	223
growth	222
carry	221
white	220
conference	218
income	218
principle	218
recommend	218
result	217
society	217
grow	216
vietnamese	216
pay	214
second	214
themselves	214
turn	213
danger	212
deal	212
during	212
lead	212
1	210
community	210
remain	210
space	210
peaceful	209
able	208
expect	208
family	208
international	208
recognize	207
put	205
send	205
number	204
recommendation	204
major	203
2	202
ahead	201
situation	201
join	200
word	200
abroad	199
propose	199
vice	199
aid	198
rate	198
third	198
